1.82	0.018552	37.103785
1.83	0.01904	38.080586
1.84	0.019407	38.813187
1.85	0.019834	39.667888
1.86	0.020261	40.522589
1.87	0.02075	41.499389
1.88	0.021177	42.35409
1.89	0.021665	43.330891
1.9	0.022093	44.185592
1.91	0.022642	45.284493
1.92	0.02307	46.139194
1.93	0.023619	47.238095
1.94	0.024107	48.214896
1.95	0.024657	49.313797
1.96	0.025145	50.290598
1.97	0.025756	51.5116
1.98	0.026244	52.4884
1.99	0.026183	52.3663
2	0.026488	52.976801
2.01	0.027587	55.174603
2.02	0.027587	55.174603
2.03	0.027587	55.174603
2.04	0.027587	55.174603
2.05	0.027587	55.174603
2.06	0.027587	55.174603
2.07	0.027587	55.174603
2.08	0.027526	55.052503
2.09	0.027526	55.052503
2.1	0.027587	55.174603
2.11	0.027526	55.052503
2.12	0.027526	55.052503
2.13	0.027526	55.052503
2.14	0.027526	55.052503
2.15	0.027526	55.052503
2.16	0.027526	55.052503
2.17	0.027526	55.052503
2.18	0.027526	55.052503
2.19	0.027526	55.052503
2.2	0.027526	55.052503
2.21	0.027526	55.052503
2.22	0.027526	55.052503
2.23	0.027465	54.930403
2.24	0.027465	54.930403
2.25	0.027526	55.052503
2.26	0.027465	54.930403
2.27	0.027465	54.930403
2.28	0.027465	54.930403
2.29	0.027465	54.930403
2.3	0.027465	54.930403
2.31	0.027465	54.930403
2.32	0.027465	54.930403
2.33	0.027465	54.930403
2.34	0.027465	54.930403
2.35	0.027404	54.808303
2.36	0.027465	54.930403
2.37	0.027465	54.930403
2.38	0.027465	54.930403
2.39	0.027404	54.808303
2.4	0.027465	54.930403
2.41	0.027404	54.808303
2.42	0.027404	54.808303
2.43	0.027465	54.930403
2.44	0.027404	54.808303
2.45	0.027404	54.808303
2.46	0.027404	54.808303
2.47	0.027404	54.808303
2.48	0.027404	54.808303
2.49	0.027404	54.808303
2.5	0.027404	54.808303
2.51	0.027404	54.808303
2.52	0.027404	54.808303
2.53	0.027404	54.808303
2.54	0.027343	54.686203
2.55	0.027404	54.808303
2.56	0.027404	54.808303
2.57	0.027404	54.808303
2.58	0.027404	54.808303
2.59	0.027404	54.808303
2.6	0.027343	54.686203
2.61	0.027404	54.808303
2.62	0.027343	54.686203
2.63	0.027343	54.686203
2.64	0.027343	54.686203
2.65	0.027343	54.686203
2.66	0.027343	54.686203
2.67	0.027343	54.686203
2.68	0.027343	54.686203
2.69	0.027343	54.686203
2.7	0.027343	54.686203
2.71	0.027343	54.686203
